商品コード,SKUID,商品名,グループ,部門,カテゴリ,サブカテ,is_selected
4901810504411 ,14901810504418 ,トップバリュ うどんスープ 64g,211,3,6,3,1
4902115393915 ,14902115393912 ,日本ハム シャウエッセンとろける4種チーズ 94g×2,221,52,1,6,1
4902201440509 ,14902201440506 ,ネスレ日本 マギーブイヨン 無添加アレルギー28品目不使用 4g×7本入,211,5,1,3,1
4903050156887 ,14903050156884 ,雪印メグミルク 雪印北海道バター（10gに切れてる）00g,221,21,1,1,1
4987072029923 ,14987072029920 ,小林製薬 液体ブルーレットおくだけ 除菌EX つけ替用 スーパーミントの香り 70ml,384,304,5,4,1
4987176161888 ,14987176161885 ,P＆G レノア アロマジュエル 香り付け専用ビーズ おひさまフローラルの香り つめかえ用 超特大サイズ 1300ml,384,304,1,3,1
4538872264412 ,14538872264419 ,吉野家 豚丼の具 120g,221,24,2,2,1
4901071235727 ,14901071235724 ,エースコック スーパーカップ1.5倍 鶏ガラ醤油 109g,211,5,8,4,1
4901820161420 ,14901820161427 ,パスコ 超熟食パン 5枚,221,17,1,1,1
4902105051108 ,14902105051105 ,日清食品 チキンラーメン 5食入,211,5,10,1,1
4972195030604 ,14972195030601 ,極洋 さばみそ煮 180g,211,5,2,2,1
4987176194626 ,14987176194623 ,P＆G アリエール ジェルボール4D 部屋干し つめかえ用 ハイパージャンボサイズ 627g（33個）,384,304,1,2,1
4549414431902 ,14549414431909 ,トップバリュベストプライス 濃甘ソースの焼そば 129g,211,5,8,5,1
4987035090113 ,14987035090110 ,大塚製薬 カロリーメイトブロック チーズ味 80g（4本入）,211,805,7,1,1
4549414175479 ,14549414175476 ,トップバリュ ベトナム産原料 ベトナム加工asc認証 尾付えびチリソース和え 145g,241,40,20,2,1
4901301336347 ,14901301336344 ,花王 ビオレu さっぱりさらさら つめかえ用 340ml,384,243,4,5,1
4901353052318 ,14901353052315 ,金吾堂 ほろほろ焼和塩 7枚入,211,1,3,1,1
4901777300545 ,14901777300542 ,サントリーフーズ クラフトボス ラテ 500ml,211,74,1,7,1
4902105271506 ,14902105271503 ,日清食品 最強どん兵衛 きつねうどん 93g,211,5,8,3,1
4902720154789 ,14902720154786 ,森永乳業 PARM抹茶 55ml×6本,221,19,1,3,1
4514603420715 ,14514603420712 ,アサヒ飲料 ウィルキンソンタンサン クラッシュオレンジ 500ml,211,74,2,2,1
4549414001501 ,14549414001508 ,トップバリュベストプライス チキンナゲット 300g,221,52,2,3,1
4549414351798 ,14549414351795 ,トップバリュ フリーフロム こめ油で揚げたポテトチップス のりしお味 40g,211,1,2,1,1
4549741004435 ,14549741004432 ,トップバリュ 国産紅しょうが 46g,221,14,1,9,1
4549741772815 ,14549741772812 ,トップバリュベストプライス スーパースイートコーン 180g×3缶,211,5,2,1,1
4549741824033 ,14549741824030 ,トップバリュベストプライス もめんとうふ 150g×3,221,12,1,1,1
4901001028917 ,14901001028914 ,味の素 Cook Do 四川式麻婆豆腐用 106.5g,211,3,15,1,1
4901777375703 ,14901777375700 ,サントリー 翠ジンソーダ 350ml,214,9,51,1,1
4902165165203 ,14902165165200 ,マルハニチロ 横浜あんかけラーメン 482g,221,24,1,3,1
4902553008464 ,14902553008461 ,フジッコ まるごとSOYカスピ海ヨーグルト 400g,221,18,2,1,1
4903308060027 ,14903308060024 ,六甲バター アーモンド入りベビーチーズ 54g,221,21,3,1,1
4903320162983 ,14903320162980 ,レック 電子レンジ＆冷蔵庫用シート 20枚入,375,250,32,5,1
4908011621633 ,14908011621630 ,雪印メグミルク プルーンFe 1日分の鉄分 のむヨーグルト 190g,221,20,1,7,1
4977821321491 ,14977821321498 ,宮田製菓 ヤングドーナツ 4個入,211,1,5,2,1
4514410178113 ,14514410178110 ,湖池屋 プライドポテト神のり塩 55g,211,1,2,1,1
4562355181019 ,14562355181016 ,医食同源ドットコム KUCHIRAKU MASK くちらくマスク ホワイト 30枚（個別包装）,382,618,1,1,1
4897036690055 ,14897036690052 ,アサヒ飲料 モンスターアブソリュートリーゼロ 355ml,211,74,3,3,1
4901360354153 ,14901360354150 ,ブルボン レーズンサンド 93g,211,1,1,1,1
4987244196774 ,14987244196771 ,【12ヶ月頃～】和光堂 BIGサイズのグーグーキッチン 鶏肉と野菜の煮込みうどん 130g,113,123,17,50,1
4538872264016 ,14538872264013 ,吉野家 牛丼の具 120g,221,24,2,2,1
4901777375901 ,14901777375908 ,サントリーフーズ 天然水きりっと果実オレンジ＆マンゴー 600ml,211,74,3,1,1
4901777393943 ,14901777393940 ,サントリー こだわり酒場のタコハイ 350ml×6本入,214,9,5,2,1
4902381004461 ,14902381004468 ,にんべん つゆの素 500ml,211,3,17,1,1
4987316012384 ,14987316012381 ,◆ 【第2類医薬品】佐藤製薬 ストナリニS 24錠,382,695,1,6,1
4901085046449 ,14901085046446 ,伊藤園 1日分の野菜 200ml,221,20,2,8,1
4901330162283 ,14901330162280 ,カルビー さやえんどうミニ4さっぱりしお味 48g,211,1,5,4,1
4902705030640 ,14902705030647 ,明治 SAVASミルクプロテイン ココア味 430ml,221,20,1,5,1
4903050506408 ,14903050506405 ,雪印メグミルク 雪印北海道100とろけるチーズクッキング用 120g,221,21,3,4,1
4549414227314 ,14549414227311 ,トップバリュ 三陸産カットわかめ 35g,211,4,6,2,1
4549741007047 ,14549741007044 ,トップバリュベストプライス チェダーチーズ使用チーズサンド 194g,211,1,4,3,1
4901005204867 ,14901005204864 ,江崎グリコ カレーZEPPIN 甘口 175g,211,3,11,1,1
4901231421045 ,14901231421042 ,伊藤ハム まるごと美味しいフランクフルト 285g,221,52,1,14,1
4901301348968 ,14901301348965 ,花王 IROKA（イロカ）ミスト ネイキッドリリーの香り 本体 200ml,384,304,1,3,1
4901588218633 ,14901588218630 ,ギンビス たべっこ水族館 5連 85g,211,1,5,4,1
4901991059731 ,14901991059738 ,トンボ鉛筆 マークシート用鉛筆MONO（モノ）無地3本パック,327,240,16,1,1
4902105003374 ,14902105003371 ,日清食品 カップヌードル BIG 101g,211,5,8,4,1
4902115318475 ,14902115318472 ,日本ハム ふんわり生地のアメリカンドッグ 6本,221,16,3,6,1
4902121290345 ,14902121290342 ,トップバリュ チーズ入りハンバーグ 100g,221,16,4,2,1
4902508009782 ,14902508009789 ,ピジョン 哺乳びん洗い 詰替2回分 1.4L,113,123,16,30,1
4902720151009 ,14902720151006 ,森永乳業 マウントレーニア クリーミーラテ 240ml,221,20,2,8,1
4902738335149 ,14902738335146 ,マンナンライフ ララクラッシュ マスカット味 24g×8個,221,18,1,2,1
4903111176076 ,14903111176073 ,【パンツ】ユニ・チャーム マミーポコパンツ 夜用 ビッグより大きい 22枚,113,353,1,4,1
4909411086299 ,14909411086296 ,キリンビバレッジ 午後の紅茶ミルクティー 1500ml,211,74,1,8,1
4957324192378 ,14957324192375 ,オギワラ食品 明太子高菜 80g,221,14,1,8,1
4549414451795 ,14549414451792 ,トップバリュベストプライス 肉の旨味を引き出した濃厚デミグラスソース仕上げ 大盛りなす入りミートソース 1人前（360g）,221,24,1,5,1
4549741436083 ,14549741436080 ,トップバリュ カカオ70％ブラックチョコレート 40g,211,1,1,2,1
4901990325189 ,14901990325186 ,東洋水産 マルちゃん 黒い豚カレーうどん 87g,211,5,8,3,1
4902121940561 ,14902121940568 ,トップバリュ 宮崎産せんぎり大根 30g,211,4,14,1,1
4902381007998 ,14902381007995 ,にんべん フレッシュパックソフト 1.5g×8袋,211,4,5,1,1
4904071407484 ,14904071407481 ,永井海苔 韓国味付ジャバンのり 45g,211,5,6,1,1
4972050151741 ,14972050151748 ,小岩井乳業 生乳100％ヨーグルト 400g,221,18,2,1,1
4987176118585 ,14987176118582 ,P＆G 除菌ジョイコンパクトW消臭 フレッシュクリーン つめかえ用 特大サイズ 670ml,384,303,1,1,1
4549414373226 ,14549414373223 ,トップバリュ たまごのおいしさまるごとマヨネーズ 400g,211,3,9,1,1
4549741019590 ,14549741019597 ,トップバリュベストプライス 元禄割箸 40膳,384,303,7,11,1
4901001114467 ,14901001114464 ,味の素 クノール カップスープ クリームオニオンポタージュ 3食入,211,5,1,1,1
4901301408556 ,14901301408553 ,花王 アタック泡スプレー 除菌プラス 本体 300ml,384,304,1,2,1
4902102100540 ,14902102100547 ,コカ・コーラ ミニッツメイドぷるんぷるんQoo みかん 125g,211,74,3,4,1
